trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0440221	0.0059
0.004	-0.0046	0.0279	0.00020769418098732522	0.00014486232791552936	0.00011170107212763708	0.78243071	41.10155869	0.85677971	0.05971287905152459	0.0408465	0.00396
-0.0013	-0.052	0.01	0.00024260076602721178	6.806784082777885e-05	-8.028514559173915e-05	0.77067691	40.48412323	0.85515632	0.08578436449235066	0.0398846	0.00363
0.002	-0.0374	0.0202	0.000614355896702004	6.45771823237902e-05	6.632251157578452e-05	0.77453458	40.68677139	0.85538391	0.05419267231731523	0.0379964	0.00259
0.0059	-0.0707	0.0216	0.0011693705988362008	-0.00012740903539558605	0.0002478367537831948	0.80389172	42.22891998	0.86740291	0.08502575810304917	0.0337062	0.00128
0.0097	-0.0454	0.0164	0.0009389871375729493	0.00021467549799530252	0.00024260076602721178	0.77135873	40.51993942	0.85262378	0.06318519912050614	0.0356519	0.00173
0.0186	-0.0597	0.0287	0.0011327186845443199	0.0008918632477691023	0.0002740166925631097	0.77210712	40.55925369	0.84897472	0.0806167611640534	0.0334966	0.00132
0.0181	-0.0598	0.0168	0.0007190756518216638	0.0011362093430483087	0.00017278759594743863	0.75989479	39.91773224	0.84473973	0.05046091123087666	0.0358589	0.00206
0.0424	-0.0611	0.0316	0.0012880529879718153	0.0019669860669976093	0.0005811946409141118	0.80255055	42.15846634	0.87050906	0.13080805525330627	0.0324122	0.00131
0.0404	-0.0869	0.0453	0.001567305668290908	0.002097885760897184	0.0003159045946109737	0.81919765	43.03294754	0.87714866	0.07527212102609027	0.0305651	0.00119
0.0472	-0.1059	0.0625	0.003073524812762014	0.002384119758224254	0.0003595378259108319	0.93326253	49.02484512	0.92321148	0.13480431865490172	0.0240511	0.00041
0.0485	-0.1326	0.0133	0.003077015471266003	0.0030613075079980543	0.0003193952531149623	0.89201349	46.85800934	0.90405647	0.11324104905368294	0.0259984	0.00072
0.0319	-0.0936	0.032	0.0022846359908605773	0.0030647981665020423	-0.0002129301687433082	0.84351802	44.31051254	0.88125446	0.14070977803838422	0.0283672	0.00105
0.0345	-0.1323	0.0455	0.0029827676916583086	0.0025045474766118626	-4.537856055185256e-05	0.80072582	42.06261063	0.86304617	0.12609669994396833	0.0239138	0.00036
0.0283	-0.1293	0.1099	0.003199188518905606	0.002356194490192345	8.726646259971648e-06	0.86561638	45.47135162	0.89269406	0.09454395102393197	0.0203447	0.00016
0.1623	-0.5363	0.3993	0.015053464798451092	0.006928957130417489	-0.002633701841259443	2.90571642	152.63903809	1.92035902	1.7838733703645022	0.0330763	0.00873
0.0816	-0.5358	0.2974	0.014803882715415901	0.0038536869884034796	-0.002410299697004169	1.76936412	92.94577026	1.35668898	0.3605127184652237	0.019622	0.00071
0.0888	-0.4776	0.2733	0.014123204307138116	0.004110250388446646	-0.0016964600329384882	0.92243117	48.45586777	0.921163	0.17205407361933164	0.0147313	0.0001
0.0855	-0.4993	0.212	0.013528047032208048	0.0038467056713955023	-0.0016772614111665507	0.78720093	41.35214233	0.8484121	0.1301950306876574	0.0149048	0.00012
0.0385	-0.4615	0.2293	0.013695598640399504	0.0026755897433073067	-0.0013840460968315032	1.04542971	54.91705704	0.9819546	0.18369414253073496	0.0148415	0.00032
0.0151	-0.6942	0.3081	0.023258257612076436	0.002722713633111154	0.00045902159327450867	2.13014722	111.89792633	1.54295621	0.9075425275793395	0.0450851	0.00886
0.0634	-0.5842	0.3611	0.020827013964048336	0.00398284135305106	0.00011170107212763708	1.18401527	62.19704056	1.08738699	0.4132345944557438	0.0342823	0.00211
0.0863	-0.5638	0.3053	0.018973474298430357	0.004078834461910747	0.0005794493116621174	0.94025803	49.39232254	0.92536915	0.21996405070060737	0.0251253	0.00031
0.0968	-0.3869	0.1553	0.014587461888168606	0.0041329396687225725	0.0008656833089891874	1.40685058	73.90270996	1.11757687	0.5737175807200323	0.0170946	0.00017
0.0972	-0.3783	0.2554	0.014224433403753784	0.003947934768011174	0.001635373509118687	1.20043731	63.0596962	1.02804501	0.17498617926278603	0.0146987	0.00013
0.081	-0.4144	0.5462	0.015351916100542123	0.004125958351714595	0.0019268434942017398	1.40389061	73.7472229	1.12575148	0.4229488132787406	0.0221217	0.00025
0.0357	-0.5079	0.6016	0.015580554232553381	0.0031171580440618727	0.001450368608407288	0.9507767	49.94487381	0.92249462	0.2798956662729216	0.026015	0.00026
0.037	-0.6068	0.3582	0.016755160819145562	0.0018936822384138475	0.0003525565089028545	1.33224165	69.98345947	1.10425064	0.518394724587232	0.0201862	4e-05
0.0265	-0.491	0.163	0.013184217169565164	0.002007128639793479	-0.00022863813201125715	1.27364194	66.90518188	1.04721663	0.534779234593707	0.0122408	0.00011
0.0038	-0.3996	0.0982	0.012114330338092644	0.0013072516097437528	-0.0009512044423369096	0.90960312	47.7820015	0.90876431	0.303516508592395	0.0126783	5e-05
0.005	-0.4666	0.1067	0.01410924167312216	0.0013037609512397642	-0.0013037609512397642	0.99632907	52.33776855	0.93109072	0.194247925121818	0.017787	0.00068
-0.0088	-0.4036	0.1325	0.013535028349216025	-6.283185307179586e-05	-0.0014695672301792255	0.90614957	47.60058594	0.91442627	0.2079306203578578	0.0161558	0.00025
-0.0221	-0.3467	0.1051	0.012322024519079964	-0.0008517206749732328	-0.001621410875102732	0.80803716	42.44668198	0.85889863	0.20528681484805025	0.0157343	0.0002
-0.0296	-0.3455	0.1048	0.011217231102567558	-0.0007592182246175333	-0.0018744836166419098	0.78648335	41.3144455	0.85600729	0.08151843042036419	0.0149603	0.00021
-0.0049	-0.3976	0.2192	0.012817698026646358	-0.0005113814708343385	-0.0012426744274199627	0.92659569	48.67463303	0.90375758	0.3152056433541971	0.0126684	5e-05
0.0032	-0.4223	0.2064	0.012501793432035384	-0.00020420352248333657	-0.0010349802464326373	0.75266749	39.53807831	0.84171699	0.08713883619746506	0.0117239	6e-05
0.0121	-0.417	0.1731	0.011761773829189788	0.0003473205211468716	-0.0009389871375729493	0.77236277	40.57268524	0.84217775	0.11687683776677464	0.0103871	3e-05
0.0167	-0.4361	0.229	0.01446877949903299	0.0013194689145077131	-0.0010925761117484504	1.00625503	52.85918808	0.934009	0.27123715186897723	0.0146638	0.00011
0.0119	-0.5682	0.2387	0.015049974139947101	0.0010611601852125523	-0.001614429558094755	1.00881433	52.99362946	0.96998686	0.21466784082777887	0.0167458	0.0001
0.0062	-0.4917	0.2168	0.012657127735462875	0.0011571532940722405	-0.001726130630222392	0.91021562	47.81417847	0.89983799	0.2341270292735776	0.0116428	2e-05
0.0175	-0.4939	0.2265	0.01365022007984765	0.0001972222054753592	-0.0010576695267085637	0.84441328	44.35754013	0.87565201	0.15427422682477424	0.0117109	3e-05
0.0375	-0.4772	0.211	0.013941690064930705	0.00027750735106709843	-0.00026354471705114377	0.84115285	44.18626785	0.87964708	0.11049399701661065	0.0119961	5e-05
0.0459	-0.4348	0.29	0.012971287000821856	0.0008395033702092724	-5.235987755982988e-06	0.88564342	46.52338409	0.89697776	0.21933539062730917	0.00893945	2e-05
0.1309	-0.5803	0.4451	0.015308282869242264	0.002621484536495483	0.0005358160803622592	1.60054386	84.07753754	1.26076152	0.6186014551412431	0.0250708	0.00284
0.1553	-0.7501	0.5649	0.019130553931109847	0.0033265975543011915	0.00040666171571467877	1.70245612	89.43105316	1.32528547	0.5468269222160436	0.0405959	0.00327
0.1159	-0.7759	0.5109	0.018299777207160545	0.002933898472602468	-0.0003717551306747922	1.0822587	56.85170746	1.01563455	0.2192946326018748	0.0366131	0.00233
0.111	-0.5622	0.2807	0.01524545101617047	0.003522074430524557	-0.00011344640137963142	1.59489226	83.78065491	1.24852738	0.6438405439103664	0.0180926	0.00017
0.0298	-0.2579	0.0388	0.009601056215220807	0.0014922565104551516	-0.0013264502315156904	1.85071003	97.21891785	1.32441562	1.071760827557756	0.0161428	0.00016
0.0068	-0.2123	-0.002	0.00801455192515796	0.0008168140899333463	-0.001562069680534925	0.98555833	51.77197647	0.94404042	0.2342783079801944	0.0193557	0.00023
0.0228	-0.2233	0.1109	0.008313003227248992	0.0008133234314293575	-0.00102799892942466	0.93516558	49.12481308	0.91769803	0.18170063558526425	0.0129009	0.00016
0.0302	-0.2391	0.1691	0.007883652231258387	0.0011047934165124105	-0.0010349802464326373	0.8171609	42.92595673	0.86027097	0.11779011490408174	0.0108963	4e-05
0.0386	-0.2623	0.1449	0.0078487456462185	0.0011239920382843482	-0.0007557275661135446	0.74944758	39.36893463	0.83727791	0.07246789435654588	0.0108415	1e-05
0.0451	-0.3115	0.1897	0.008316493885752979	0.0012514010736799342	-0.0006283185307179585	0.80033022	42.04183197	0.85762131	0.1366283155162826	0.00797755	4e-05
0.0563	-0.3831	0.2179	0.009182177194742168	0.0015463617172669759	-0.0005305800926062762	0.83177239	43.69350815	0.86646192	0.17391911953439565	0.00746971	2e-05
0.0228	-0.3395	0.1455	0.007497934466567639	0.0005235987755982988	-0.0010960667702524388	0.94124985	49.44442368	0.9098011	0.31312461737446845	0.0105562	7e-05
0.0221	-0.3299	0.1505	0.0075834555999153615	0.0009459684545809266	-0.0009128071987930344	0.82639873	43.41122437	0.86890519	0.04985751918948773	0.00989223	2e-05
0.0171	-0.3365	0.1552	0.007751007208106817	0.0006667157742618339	-0.0009878563566287904	0.73798275	38.76668167	0.8327183	0.042392672317315215	0.00965989	6e-05
0.0353	-0.3329	0.2217	0.008759807515759539	0.00017278759594743863	-0.0004677482395344803	0.82647842	43.4154129	0.87797604	0.18944183015307137	0.00658685	2e-05
0.1015	-0.4833	0.2704	0.01305680813416958	0.0020263272615654165	-0.0006230825429619757	1.78112805	93.56373596	1.33349918	0.5805937293727756	0.02154	0.00457
0.1433	-0.6318	0.5069	0.018046704465621368	0.004000294645571003	-0.00034208453339088857	2.18342662	114.69672394	1.55604179	0.789043086251423	0.0310479	0.00221
0.0951	-0.613	0.3966	0.017395696654627483	0.0016057029118347831	-0.0006492624817418905	1.03967488	54.61475372	0.99011516	0.3449388746540554	0.0224957	0.00014
-0.03	-0.71	0.3508	0.02041511626057767	-0.0007208209810736582	-0.00010297442586766544	1.64709449	86.52287292	1.33293779	0.5625115777366425	0.0390183	0.01042
0.0438	-0.7149	0.3821	0.021860248881228977	0.0002740166925631097	0.001361356816555577	1.56970692	82.45765686	1.28067665	0.3052150768355658	0.0376822	0.00275
0.0605	-0.6772	0.3666	0.021158626521927255	0.00047647488579445195	0.0015603243512829306	0.82171887	43.16539001	0.87899083	0.12505240436302087	0.0330355	0.00126
0.046	-0.5899	0.2166	0.021027726828027685	-0.00029321531433504735	0.0006806784082777885	1.10728753	58.16648483	1.00458323	0.34081179185171057	0.0300772	0.00154
0.0511	-0.5462	0.2259	0.017868680881917946	-0.0015184364492350666	0.0015498523757709647	1.0507338	55.19568253	0.96849769	0.3207720524251466	0.0202259	0.00025
0.0615	-0.5077	0.3377	0.017496925751243154	-0.001218239817892042	0.0017016960206944712	0.85058177	44.68157578	0.88116126	0.20188977034706612	0.0195432	0.0001
0.0637	-0.5739	0.3796	0.01741838593490341	-0.0011239920382843482	0.0018517943363659836	0.76332527	40.09793854	0.83944417	0.12644429558094747	0.0207395	0.0001
0.0631	-0.5549	0.4241	0.017144369242340297	-0.0009162978572970229	0.0022165681500327986	0.73802298	38.76879501	0.82907366	0.10642423436086267	0.0206819	0.00011
0.0337	-0.5394	0.4567	0.016933184402848984	-0.002234021442552742	0.0018151424220741027	0.80493331	42.28363419	0.86573488	0.1740167076352864	0.0222629	0.0002
0.0144	-0.5384	0.517	0.016599826515718067	-0.003033382239966145	0.0011850785621041497	0.82374513	43.27183151	0.87642568	0.16873912722571363	0.0247589	0.00036
-0.0428	-0.5581	0.6465	0.016224580726539286	-0.0029845130209103033	0.0005567600313861911	1.01004791	53.05842972	0.96089208	0.25902167694762906	0.0333142	0.00133
-0.0649	-0.5857	0.6963	0.016446237541542567	-0.0010716321607245184	-0.00045553093477052	0.91802353	48.2243309	0.92938423	0.2568414320672888	0.0367923	0.00136
-0.022	-0.6197	0.615	0.01735555408183161	-0.0008412486994612669	-0.00040317105721069014	0.8595717	45.15382004	0.88965087	0.2178029939556063	0.0322062	0.00082
